Entity,Christians,Muslims,Unaffiliated,Hindus,Buddhists,folkReligions,otherReligions,Jews,Population,Temperature,GII,HDI,POL,INTERNET,PRECIPITATION
Burundi,0.7150083134864924,0.021440927262306814,0.00046610711439797417,0.00046610711439797417,0.00046610711439797417,0.044746282982205524,0.00046610711439797417,0.00046610711439797417,10727148,19.8,0.47400001,0.418,0.25,0.0559,1274.0
Peru,0.9045364652740213,0.00016280353946616656,0.028002208788180646,0.00016280353946616656,0.0016280353946616654,0.00944260528903766,0.0029304637103909977,0.00016280353946616656,30711863,19.6,0.38499999,0.745,0.5,0.4873,1738.0
Israel,0.01873178801909843,0.17233244977570558,0.028722074962617593,0.0006243929339699477,0.0024975717358797908,0.0024975717358797908,0.0006243929339699477,0.7005688719142813,8007778,19.2,0.103,0.901,0.75,0.8158,435.0
Malta,0.8760805906535342,0.010951007383169177,0.021902014766338355,0.010951007383169177,0.010951007383169177,0.010951007383169177,0.010951007383169177,0.010951007383169177,456579,19.2,0.21699999,0.871,0.5,0.8007,560.0
Tunisia,0.0017304362715362528,0.9024225156061558,0.0017304362715362528,0.0004326090678840632,0.0004326090678840632,0.0004326090678840632,0.0004326090678840632,0.0004326090678840632,11557779,19.2,0.289,0.728,0.5,0.555,207.0
Cyprus,0.6822316555488175,0.2358331648810727,0.008422613031466882,0.004211306515733441,0.004211306515733441,0.004211306515733441,0.004211306515733441,0.004211306515733441,1187280,18.45,0.116,0.86,0.75,0.8074,498.0
Jordan,0.013692503859706185,0.6330149861294936,0.0005266347638348532,0.0005266347638348532,0.002106539055339413,0.0005266347638348532,0.0005266347638348532,0.0005266347638348532,9494246,18.3,0.47799999,0.733,0.0,0.6679,111.0
Rwanda,0.8520170860345725,0.016318875639775077,0.03263775127955015,0.00042944409578355466,0.00042944409578355466,0.008588881915671094,0.0017177763831342186,0.00042944409578355466,11642959,17.85,0.38299999,0.51,0.25,0.2177,1212.0
South Africa,0.7285709929168082,0.015391084596130067,0.13332974446647558,0.010201067697435043,0.0017896609995500076,0.003758288099055016,0.003042423699235013,0.0012527626996850054,55876504,17.75,0.39399999,0.692,0.5,0.5617,495.0
Syria,0.05519344835023138,0.9856716766696981,0.021869102176506772,0.0002603464544822235,0.0002603464544822235,0.0002603464544822235,0.0002603464544822235,0.0002603464544822235,19205178,17.75,0.55400002,0.538,0.0,0.3425,252.0
Uruguay,0.5730544507522882,0.0014693703865443289,0.4026074859131461,0.0014693703865443289,0.0014693703865443289,0.008816222319265973,0.0014693703865443289,0.0014693703865443289,3402818,17.55,0.28400001,0.8,0.75,0.6828,1300.0
Iran,0.0013448938616488857,0.8994894672864411,0.0013448938616488857,0.00024452615666343375,6.113153916585844e-05,6.113153916585844e-05,0.001833946174975753,6.113153916585844e-05,81790841,17.25,0.509,0.789,0.25,0.6042,228.0
Morocco,0.0005766936526616805,0.920691416474373,0.00014417341316542013,0.00014417341316542013,0.00014417341316542013,0.00014417341316542013,0.00014417341316542013,0.00014417341316542013,34680458,17.1,0.49399999,0.655,0.0,0.6176,346.0
Lebanon,0.25316693077290925,0.4047545374702685,0.0015627588319315387,0.0007813794159657693,0.0007813794159657693,0.0007813794159657693,0.0007813794159657693,0.0007813794159657693,6398940,15.0,0.38100001,0.752,0.5,0.7818,661.0
Greece,0.9262822740202067,0.056446771943289314,0.06477498419721725,0.001850713834206207,0.00046267845855155177,0.0009253569171031035,0.00046267845855155177,0.00046267845855155177,10806641,15.4,0.119,0.866,0.75,0.6989,652.0
Portugal,0.946414694607607,0.002894234540084425,0.07717958773558466,0.0004823724233474041,0.0019294896933896165,0.0009647448466948083,0.0004823724233474041,0.0004823724233474041,10365435,15.15,0.090999998,0.842,0.75,0.7379,854.0
Italy,0.8374160131008788,0.03685692999769927,0.12451665539763265,0.0014941998647715919,0.0018262442791652789,0.0013281776575747482,0.0009961332431810612,0.0008301110359842177,60232906,13.45,0.085000001,0.876,0.75,0.613,832.0
Spain,0.7805072702830773,0.021106432805668207,0.1882349211444287,0.0004307435266462899,0.00010768588166157248,0.0004307435266462899,0.00021537176332314496,0.0012922305799388698,46431342,13.3,0.081,0.885,0.75,0.846,636.0
Myanmar,0.07283823546635865,0.03690470596962172,0.004661647069846953,0.015927294155310426,0.7460577664700896,0.05360894130323997,0.0015538823566156512,9.71176472884782e-05,51483949,13.05,0.37400001,0.569,0.25,0.3068,2091.0
Afghanistan,0.0008887967437094448,0.9282000660138968,0.00014813279061824078,0.00029626558123648156,0.00014813279061824078,0.00014813279061824078,0.0005925311624729631,0.00014813279061824078,33753499,12.6,0.667,0.493,0.25,0.1145,327.0
Uzbekistan,0.020355795393496426,0.8578513772973494,0.007108372994554308,0.00016155393169441608,0.00032310786338883216,0.00032310786338883216,0.00016155393169441608,0.00032310786338883216,30949417,12.05,0.287,0.698,0.0,0.5231,206.0
Azerbaijan,0.028387546788760154,0.9023184514998763,0.0005069204783707171,0.0005069204783707171,0.0005069204783707171,0.0005069204783707171,0.0005069204783707171,0.0005069204783707171,9863480,11.95,0.32600001,0.758,0.25,0.79,447.0
Lesotho,0.991257580170317,0.002360137095643612,0.033041919339010566,0.002360137095643612,0.002360137095643612,0.002360137095643612,0.002360137095643612,0.002360137095643612,2118521,11.85,0.54900002,0.511,0.5,0.2979,788.0
South Korea,0.2778736434221475,0.001960999600720871,0.43808731080104263,9.804998003604357e-05,0.21669045587965627,0.007843998402883485,0.0021570995607929585,9.804998003604357e-05,50994401,11.5,0.067000002,0.898,0.75,0.951,1274.0
Albania,0.20121555007647926,0.8915930408561236,0.017346168110041315,0.0017346168110041315,0.0017346168110041315,0.0017346168110041315,0.0017346168110041315,0.0017346168110041315,2882481,11.4,0.26699999,0.776,0.5,0.7185,1485.0
Japan,0.01595273175718091,0.0015716977100670845,0.5667541942501907,0.00023575465651006267,0.36007594537636906,0.0035363198476509403,0.04628649756147564,3.9292442751677114e-05,127250933,11.15,0.116,0.905,0.75,0.9087,1668.0
Croatia,0.9659644426373415,0.014101670695435642,0.05405640433250329,0.0011751392246196369,0.0011751392246196369,0.0011751392246196369,0.0011751392246196369,0.0011751392246196369,4254815,10.9,0.141,0.827,0.5,0.671,1113.0
France,0.6199677670044536,0.07381314920604085,0.27550640404292953,0.0004701474471722347,0.0043880428402741905,0.0034477479459297214,0.0015671581572407824,0.004858190287446425,63809769,10.7,0.102,0.898,0.75,0.805,867.0
Bulgaria,0.8413992510588976,0.13954914407806104,0.04241199476882248,0.0006840644317552012,0.0006840644317552012,0.0006840644317552012,0.0006840644317552012,0.0006840644317552012,7309253,10.55,0.223,0.807,0.5,0.6341,608.0
New Zealand,0.5424139380776762,0.010891846146138078,0.3485390766764185,0.01960532306304854,0.015248584604593309,0.004356738458455231,0.0065351076876828465,0.0010891846146138078,4590590,10.55,0.15800001,0.914,0.75,0.9081,1732.0
Turkey,0.004017769691346646,0.8955859752617382,0.01079775604549411,6.277765142729134e-05,0.0005022212114183307,0.00025111060570916536,0.0018833295428187403,0.00025111060570916536,79646178,9.9,0.32800001,0.783,0.25,0.6468,593.0
Bosnia and Herzegovina,0.5589724440772188,0.48236200757932585,0.02553681216596431,0.0014187117869980171,0.0014187117869980171,0.0014187117869980171,0.0014187117869980171,0.0014187117869980171,3524324,9.85,0.15800001,0.755,0.5,0.6949,1028.0
Hungary,0.8217998615638008,0.0005079109156760203,0.18894286063147955,0.0005079109156760203,0.0005079109156760203,0.0005079109156760203,0.0005079109156760203,0.0010158218313520407,9844246,9.75,0.252,0.834,0.5,0.7675,589.0
